2003.10,9
2003.11,7
2003.12,5
2004.01,5
2004.02,5
2004.03,6
2004.04,9
2004.05,11
2004.06,15
2004.07,15
2004.08,16
2004.09,14
2004.10,9
2004.11,8
2004.12,6
2005.01,6
2005.02,4
2005.03,8
2005.04,8
2005.05,10
2005.06,15
2005.07,15
2005.08,15
2005.09,14
2005.10,12
2005.11,6
2005.12,5
2006.01,5
2006.02,5
2006.03,6
2007.06,14
2007.09,13
2007.12,6
2008.01,6
2008.02,5
2008.03,6
2008.04,8
2008.06,13
2008.07,15
2008.08,15
2008.09,13
2009.01,4
2009.02,5
2009.03,7
2009.04,9
2009.05,11
2009.06,14
2009.07,15
2009.08,16
2009.09,13
2009.10,11
2009.11,7
2009.12,3
2010.01,2
2010.02,2
2010.03,5
2010.04,8
2010.05,10
2013.01,4
2013.02,4
2013.03,3
2013.04,7
2013.05,10
2013.06,14
2013.07,17
2013.08,16
2013.09,13
2013.10,12
2013.11,6
2013.12,7
2014.01,5
2014.02,5
2014.03,7
2014.04,10
2014.05,12
2014.06,14
2014.07,16
2014.08,14
2014.09,14
2014.10,11
2014.11,7
2014.12,4
2015.01,4
2015.02,4
2015.03,6
2015.04,8
2015.05,10
2015.06,13
2015.07,14
2015.08,14
2015.09,12
2015.10,10
2015.11,9
2015.12,8
2016.01,6
2016.02,5
2016.03,6
2016.04,7
2016.05,12
2016.06,14
2016.07,16
2016.08,16
2016.09,14
2016.10,11
2016.11,5
2016.12,6
2017.01,6
2017.02,6
